Date,Year,Month,State,Production,Status Data
1/10/2017,2017,Oct,Melaka & Negeri Sembilan,656,f
1/11/2017,2017,Nov,Melaka & Negeri Sembilan,622,f
1/12/2017,2017,Dec,Melaka & Negeri Sembilan,802,f
1/1/2017,2017,Jan,Pahang,415,f
1/2/2017,2017,Feb,Pahang,586,f
1/3/2017,2017,Mar,Pahang,552,f
1/4/2017,2017,Apr,Pahang,359,f
1/5/2017,2017,May,Pahang,308,f
1/6/2017,2017,Jun,Pahang,403,f
1/7/2017,2017,Jul,Pahang,584,f
1/8/2017,2017,Aug,Pahang,490,f
1/9/2017,2017,Sep,Pahang,414,f
1/10/2017,2017,Oct,Pahang,403,f
1/11/2017,2017,Nov,Pahang,474,f
1/12/2017,2017,Dec,Pahang,480,f
1/1/2017,2017,Jan,Perak,429,f
1/2/2017,2017,Feb,Perak,470,f
1/3/2017,2017,Mar,Perak,328,f
1/4/2017,2017,Apr,Perak,160,f
1/5/2017,2017,May,Perak,224,f
1/6/2017,2017,Jun,Perak,328,f
1/7/2017,2017,Jul,Perak,526,f
1/8/2017,2017,Aug,Perak,482,f
1/9/2017,2017,Sep,Perak,321,f
1/10/2017,2017,Oct,Perak,508,f
1/11/2017,2017,Nov,Perak,367,f
1/12/2017,2017,Dec,Perak,508,f
1/1/2017,2017,Jan,Selangor,314,f
1/2/2017,2017,Feb,Selangor,345,f
1/3/2017,2017,Mar,Selangor,215,f
1/4/2017,2017,Apr,Selangor,140,f
1/5/2017,2017,May,Selangor,240,f
1/6/2017,2017,Jun,Selangor,305,f
1/7/2017,2017,Jul,Selangor,367,f
1/8/2017,2017,Aug,Selangor,407,f
1/9/2017,2017,Sep,Selangor,380,f
1/10/2017,2017,Oct,Selangor,446,f
1/11/2017,2017,Nov,Selangor,407,f
1/12/2017,2017,Dec,Selangor,445,f
1/1/2017,2017,Jan,Sabah & Sarawak,2,f
1/2/2017,2017,Feb,Sabah & Sarawak,2,f
1/3/2017,2017,Mar,Sabah & Sarawak,3,f
1/4/2017,2017,Apr,Sabah & Sarawak,3,f
1/5/2017,2017,May,Sabah & Sarawak,6,f
1/6/2017,2017,Jun,Sabah & Sarawak,4,f
1/7/2017,2017,Jul,Sabah & Sarawak,8,f
1/8/2017,2017,Aug,Sabah & Sarawak,6,f
1/9/2017,2017,Sep,Sabah & Sarawak,5,f
1/10/2017,2017,Oct,Sabah & Sarawak,6,f
1/11/2017,2017,Nov,Sabah & Sarawak,7,f
1/12/2017,2017,Dec,Sabah & Sarawak,5,f
1/1/2018,2018,Jan,Johor,449,f
1/2/2018,2018,Feb,Johor,546,f
1/3/2018,2018,Mar,Johor,394,f
1/4/2018,2018,Apr,Johor,296,f
1/5/2018,2018,May,Johor,325,f
1/6/2018,2018,Jun,Johor,444,f
1/7/2018,2018,Jul,Johor,692,f
1/8/2018,2018,Aug,Johor,687,f
1/9/2018,2018,Sep,Johor,579,f
1/10/2018,2018,Oct,Johor,572,f
1/11/2018,2018,Nov,Johor,492,f
1/12/2018,2018,Dec,Johor,578,f
1/1/2018,2018,Jan,Kedah & Perlis,1460,f
1/2/2018,2018,Feb,Kedah & Perlis,1413,f
1/3/2018,2018,Mar,Kedah & Perlis,638,f
1/4/2018,2018,Apr,Kedah & Perlis,692,f
1/5/2018,2018,May,Kedah & Perlis,647,f
1/6/2018,2018,Jun,Kedah & Perlis,1006,f
1/7/2018,2018,Jul,Kedah & Perlis,1436,f
1/8/2018,2018,Aug,Kedah & Perlis,1291,f
1/9/2018,2018,Sep,Kedah & Perlis,944,f
1/10/2018,2018,Oct,Kedah & Perlis,981,f
1/11/2018,2018,Nov,Kedah & Perlis,1597,f
1/12/2018,2018,Dec,Kedah & Perlis,1395,f
1/1/2018,2018,Jan,Kelantan & Terengganu,697,f
1/2/2018,2018,Feb,Kelantan & Terengganu,872,f
1/3/2018,2018,Mar,Kelantan & Terengganu,500,f
1/4/2018,2018,Apr,Kelantan & Terengganu,407,f
1/5/2018,2018,May,Kelantan & Terengganu,440,f
1/6/2018,2018,Jun,Kelantan & Terengganu,512,f
1/7/2018,2018,Jul,Kelantan & Terengganu,900,f
1/8/2018,2018,Aug,Kelantan & Terengganu,956,f
1/9/2018,2018,Sep,Kelantan & Terengganu,777,f
1/10/2018,2018,Oct,Kelantan & Terengganu,885,f
1/11/2018,2018,Nov,Kelantan & Terengganu,727,f
1/12/2018,2018,Dec,Kelantan & Terengganu,520,f
1/1/2018,2018,Jan,Melaka & Negeri Sembilan,555,f
1/2/2018,2018,Feb,Melaka & Negeri Sembilan,898,f
1/3/2018,2018,Mar,Melaka & Negeri Sembilan,619,f
1/4/2018,2018,Apr,Melaka & Negeri Sembilan,352,f
1/5/2018,2018,May,Melaka & Negeri Sembilan,365,f
1/6/2018,2018,Jun,Melaka & Negeri Sembilan,537,f
1/7/2018,2018,Jul,Melaka & Negeri Sembilan,789,f
1/8/2018,2018,Aug,Melaka & Negeri Sembilan,839,f
1/9/2018,2018,Sep,Melaka & Negeri Sembilan,648,f
1/10/2018,2018,Oct,Melaka & Negeri Sembilan,695,f
1/11/2018,2018,Nov,Melaka & Negeri Sembilan,483,f
1/12/2018,2018,Dec,Melaka & Negeri Sembilan,716,f
1/1/2018,2018,Jan,Pahang,419,f
1/2/2018,2018,Feb,Pahang,562,f
1/3/2018,2018,Mar,Pahang,368,f
1/4/2018,2018,Apr,Pahang,284,f
1/5/2018,2018,May,Pahang,339,f
1/6/2018,2018,Jun,Pahang,389,f
1/7/2018,2018,Jul,Pahang,571,f
1/8/2018,2018,Aug,Pahang,521,f
1/9/2018,2018,Sep,Pahang,453,f
1/10/2018,2018,Oct,Pahang,452,f
1/11/2018,2018,Nov,Pahang,412,f
1/12/2018,2018,Dec,Pahang,610,f
1/1/2018,2018,Jan,Perak,377,f
1/2/2018,2018,Feb,Perak,350,f
1/3/2018,2018,Mar,Perak,235,f
1/4/2018,2018,Apr,Perak,155,f
1/5/2018,2018,May,Perak,272,f
1/6/2018,2018,Jun,Perak,318,f
1/7/2018,2018,Jul,Perak,468,f
1/8/2018,2018,Aug,Perak,480,f
1/9/2018,2018,Sep,Perak,329,f
1/10/2018,2018,Oct,Perak,342,f
1/11/2018,2018,Nov,Perak,479,f
1/12/2018,2018,Dec,Perak,507,f
1/1/2018,2018,Jan,Selangor,540,f
1/2/2018,2018,Feb,Selangor,625,f
1/3/2018,2018,Mar,Selangor,340,f
1/4/2018,2018,Apr,Selangor,341,f
1/5/2018,2018,May,Selangor,390,f
1/6/2018,2018,Jun,Selangor,517,f
1/7/2018,2018,Jul,Selangor,937,f
1/8/2018,2018,Aug,Selangor,794,f
1/9/2018,2018,Sep,Selangor,1307,f
1/10/2018,2018,Oct,Selangor,467,f
1/11/2018,2018,Nov,Selangor,556,f
1/12/2018,2018,Dec,Selangor,547,f
1/1/2018,2018,Jan,Sabah & Sarawak,220,f
1/2/2018,2018,Feb,Sabah & Sarawak,189,f
1/3/2018,2018,Mar,Sabah & Sarawak,283,f
1/4/2018,2018,Apr,Sabah & Sarawak,175,f
1/5/2018,2018,May,Sabah & Sarawak,80,f
1/6/2018,2018,Jun,Sabah & Sarawak,373,f
1/7/2018,2018,Jul,Sabah & Sarawak,627,f
1/8/2018,2018,Aug,Sabah & Sarawak,501,f
1/9/2018,2018,Sep,Sabah & Sarawak,108,f
1/10/2018,2018,Oct,Sabah & Sarawak,140,f
1/11/2018,2018,Nov,Sabah & Sarawak,274,f
1/12/2018,2018,Dec,Sabah & Sarawak,188,f
1/1/2019,2019,Jan,Johor,747,f
1/2/2019,2019,Feb,Johor,550,f
1/3/2019,2019,Mar,Johor,319,f
1/4/2019,2019,Apr,Johor,263,f
1/5/2019,2019,May,Johor,321,f
1/6/2019,2019,Jun,Johor,536,f
1/7/2019,2019,Jul,Johor,752,f
1/8/2019,2019,Aug,Johor,771,f
1/9/2019,2019,Sep,Johor,730,f
1/10/2019,2019,Oct,Johor,603,f
1/11/2019,2019,Nov,Johor,634,f
1/12/2019,2019,Dec,Johor,626,f
1/1/2019,2019,Jan,Kedah & Perlis,1631,f
1/2/2019,2019,Feb,Kedah & Perlis,1015,f
1/3/2019,2019,Mar,Kedah & Perlis,541,f
1/4/2019,2019,Apr,Kedah & Perlis,651,f
1/5/2019,2019,May,Kedah & Perlis,783,f
1/6/2019,2019,Jun,Kedah & Perlis,950,f
1/7/2019,2019,Jul,Kedah & Perlis,1327,f
1/8/2019,2019,Aug,Kedah & Perlis,1158,f
1/9/2019,2019,Sep,Kedah & Perlis,1411,f
1/10/2019,2019,Oct,Kedah & Perlis,956,f
1/11/2019,2019,Nov,Kedah & Perlis,1499,f
1/12/2019,2019,Dec,Kedah & Perlis,1640,f
1/1/2019,2019,Jan,Kelantan & Terengganu,1884,f
1/2/2019,2019,Feb,Kelantan & Terengganu,1394,f
1/3/2019,2019,Mar,Kelantan & Terengganu,1071,f
1/4/2019,2019,Apr,Kelantan & Terengganu,1058,f
1/5/2019,2019,May,Kelantan & Terengganu,849,f
1/6/2019,2019,Jun,Kelantan & Terengganu,813,f
1/7/2019,2019,Jul,Kelantan & Terengganu,1206,f
1/8/2019,2019,Aug,Kelantan & Terengganu,1254,f
1/9/2019,2019,Sep,Kelantan & Terengganu,1389,f
1/10/2019,2019,Oct,Kelantan & Terengganu,1417,f
1/11/2019,2019,Nov,Kelantan & Terengganu,1115,f
1/12/2019,2019,Dec,Kelantan & Terengganu,1264,f
1/1/2019,2019,Jan,Melaka & Negeri Sembilan,867,f
1/2/2019,2019,Feb,Melaka & Negeri Sembilan,670,f
1/3/2019,2019,Mar,Melaka & Negeri Sembilan,317,f
1/4/2019,2019,Apr,Melaka & Negeri Sembilan,239,f
1/5/2019,2019,May,Melaka & Negeri Sembilan,489,f
1/6/2019,2019,Jun,Melaka & Negeri Sembilan,526,f
1/7/2019,2019,Jul,Melaka & Negeri Sembilan,833,f
1/8/2019,2019,Aug,Melaka & Negeri Sembilan,767,f
1/9/2019,2019,Sep,Melaka & Negeri Sembilan,705,f
1/10/2019,2019,Oct,Melaka & Negeri Sembilan,523,f
1/11/2019,2019,Nov,Melaka & Negeri Sembilan,573,f
1/12/2019,2019,Dec,Melaka & Negeri Sembilan,795,f
